colony,tag_id,body_size,age,foraging_events,group_period1,group_period2,group_period3,group_period4,visits_brood,visits_entrance,visits_rubbishpile
29,115,145.165,14,0,N,N,N,NA,346.727,2.90909,6
29,158,151.327,14,0,N,C,NA,NA,307.091,4.09091,5.27273
29,170,167.586,64,0,N,N,N,N,263,0.818182,0.636364
29,172,172.977,14,0,N,NA,NA,NA,233.364,0,1.27273
29,217,156.978,14,0,N,N,NA,NA,193.909,1.18182,0.818182
29,237,163.615,14,0,N,N,F,NA,98.3636,0,1.63636
29,242,142.899,14,0,N,N,N,N,544.091,0.727273,8.09091
29,250,149.04,14,0,N,N,N,NA,353.636,1.27273,3.18182
29,252,165.412,50,0,N,N,N,N,465.091,2.72727,2.90909
29,263,159.928,40,0,N,N,N,N,164.727,0,0.545455
29,264,171.418,19,0,N,N,N,N,321.182,0,0.363636
29,289,153.808,14,0,N,N,NA,NA,308.818,4.27273,6.72727
29,299,159.906,50,0,N,N,N,N,395.636,3.09091,0.272727
29,305,132.231,14,0,N,N,C,C,372.364,0,1.27273
29,326,133.004,14,0,N,N,NA,NA,306.455,1.72727,5.36364
29,334,132.136,14,0,N,N,N,NA,735.273,0.272727,0.545455
29,356,130.392,14,0,N,N,N,N,398.364,0.272727,0.181818
29,391,156.605,14,0,N,N,N,N,543.727,0,0.181818
29,433,134.172,14,0,N,NA,NA,NA,96.5455,0.818182,0.909091
29,475,165.529,106,0,N,N,N,N,496.727,0.181818,0.454545
29,530,145.165,14,0,N,N,NA,NA,149.091,0.363636,1.18182
29,534,144.281,14,0,N,N,N,NA,218.364,0.0909091,1.63636
29,540,153.388,50,0,N,N,C,NA,168.273,5.81818,9.81818
29,564,130.943,14,0,N,N,N,NA,215.182,0,0
29,646,146.294,14,0,N,N,N,NA,214.545,0,3.27273
29,740,135.794,14,0,N,N,F,NA,351.273,2.09091,1.54545
29,838,150.712,14,0,N,N,NA,NA,540.273,1.18182,0
29,929,148.408,14,0,N,N,NA,NA,154.182,0.363636,1
58,2,166.012,71,0,N,N,NA,NA,507,0.272727,1.36364
58,4,170.95,40,0,N,N,NA,NA,137.818,1.63636,0.727273
58,5,150.572,14,0,N,N,N,N,361.364,0,32
58,13,135.329,40,0,N,N,F,F,58.6364,0.545455,9.63636
58,27,161.608,40,0,N,N,N,C,364,0.0909091,1.63636
58,29,173.159,40,0,N,N,N,N,185.545,0,1.18182
58,30,140.064,57,0,N,N,C,C,94.3636,0.181818,2.27273
58,32,159.656,40,0,N,N,N,N,468.909,0.181818,1.72727
58,40,160.705,57,0,N,N,C,C,74.2727,0.818182,36.6364
58,50,164.648,113,0,N,C,F,F,182.091,2.72727,22.0909
58,52,177.913,40,0,N,N,N,N,255.182,0.181818,4.63636
58,59,168.582,57,0,N,N,N,N,353.818,0,0.363636
58,62,158.619,14,0,N,N,N,N,177.273,0,0.454545
58,65,176.98,14,0,N,N,NA,NA,300.909,0.272727,0
58,66,188.438,71,0,N,N,N,N,133.545,0.363636,0
58,68,136.953,40,0,N,N,N,C,1001,0,1
58,71,180.602,50,0,N,N,N,N,130.818,0.363636,0
58,74,181.728,57,0,N,N,N,NA,167.364,0,0.272727
58,81,168.324,14,0,N,N,C,N,113.909,0.0909091,1.36364
58,100,208.274,14,0,N,N,F,F,235.636,1.54545,2.54545
58,105,148.93,78,0,N,N,N,C,288.727,0,0.454545
58,113,152.427,57,0,N,C,F,NA,747.364,5.81818,0
58,117,144.807,85,0,N,N,NA,NA,340.909,0.636364,20.6364
58,126,189.679,57,0,N,N,N,N,238.727,0.727273,0.454545
58,142,177.226,85,0,N,N,N,NA,88.7273,1.45455,0
58,144,175.505,14,0,N,NA,NA,NA,306.818,0,0
58,148,184.859,99,0,N,C,C,C,56.1818,0,2.72727
58,153,164.137,14,0,N,NA,NA,NA,355.818,0.272727,0
58,169,129.294,57,0,N,N,C,NA,314.182,0,0
58,174,164.344,40,0,N,N,N,N,349.818,2.45455,0.818182
58,176,155.724,14,0,N,NA,NA,NA,135.545,0,0.454545
58,191,144.627,50,0,N,N,N,N,565.273,0,2.81818
58,209,134.358,40,0,N,N,C,C,302.091,0.0909091,0.0909091
58,212,178.55,40,0,N,N,NA,NA,177.818,0,1.36364
58,218,161.276,57,0,N,C,F,F,553.727,0,19.0909
58,220,149.883,14,0,N,NA,NA,NA,754.182,0,0.181818
58,221,168.621,71,0,N,NA,NA,NA,232.182,0,0
58,226,151.98,106,0,N,N,N,N,321.545,0,14.4545
58,232,155.621,14,0,N,NA,NA,NA,164.727,0,0
58,242,147.167,57,0,N,N,F,F,575.273,0,3.54545
58,243,156.32,40,0,N,N,C,C,210,0.727273,1.54545
58,244,174.385,78,0,N,N,NA,NA,15.3636,0,0.363636
58,245,162.274,316,0,N,N,F,C,430.727,0,1.18182
58,255,159.226,85,0,N,N,N,NA,183.364,0.636364,0.909091
58,260,178.908,78,0,N,N,NA,NA,113.727,0,0
58,261,205.937,14,0,N,N,N,N,22.2727,0.363636,2.36364
58,263,134.974,40,0,N,N,N,C,293.182,0,1.45455
58,294,150.814,78,0,N,N,F,F,143.091,0.0909091,5.81818
58,305,163.67,14,0,N,N,N,N,477.182,0,1.36364
58,308,163.835,106,0,N,N,F,F,160.727,0.363636,0.818182
58,332,140.132,40,0,N,C,F,F,71.2727,0.454545,7.45455
58,334,150.147,40,0,N,N,N,C,290.182,0,0
58,353,148.661,40,0,N,N,N,N,1048.64,0,0
58,356,136.795,50,0,N,C,NA,NA,295.727,1,154.909
58,376,151.743,40,0,N,N,N,N,217.909,2.45455,11
58,387,151.634,442,0,N,N,N,N,143.455,0.0909091,0.727273
58,391,204.12,14,1,N,N,N,C,296.818,0.636364,25
58,398,144.903,14,0,N,NA,NA,NA,416.909,0.636364,2.09091
58,540,172.467,14,0,N,N,NA,NA,150.455,0,7.63636
58,549,154.311,14,0,N,C,F,F,209.364,0,0.909091
58,575,137.084,71,0,N,C,NA,NA,257.909,0.909091,16.7273
58,580,137.317,64,0,N,C,F,F,174.818,1,6.72727
58,607,138.975,64,0,N,N,C,C,171,0.363636,1.90909
58,610,190.801,14,0,N,N,NA,NA,215.909,1.36364,0.454545
58,635,164.502,39155,0,N,N,NA,NA,148.636,0,0
58,638,186.682,78,0,N,N,N,N,125.545,0.272727,2.27273
58,646,167.108,57,0,N,N,F,F,198.727,1.63636,0
58,673,185.586,85,0,N,N,N,C,154.364,0.818182,1.63636
78,0,139.832,40,0,N,N,N,N,311.182,0,0
78,2,172.514,176,1,N,C,NA,NA,187.636,0.727273,1.18182
78,9,187.949,14,0,N,N,N,N,350.273,0,0.181818
78,12,193.331,183,0,N,N,N,N,247.818,0.0909091,0
78,13,149.486,120,0,N,N,N,C,410.636,1.54545,0.181818
78,14,161.549,78,0,N,C,F,NA,44.4545,1.72727,9.81818
78,19,184.491,64,0,N,N,N,N,147.455,0.454545,0.272727
78,26,192.315,78,0,N,N,N,N,266.636,1.63636,3.81818
78,27,169.499,64,0,N,N,N,N,699.818,0.0909091,0.545455
78,51,155.926,50,0,N,N,N,C,549.909,1,2.45455
78,52,187.971,169,0,N,N,N,N,384.909,0.727273,0
78,54,153.47,57,0,N,N,N,N,246.636,0,1.18182
78,57,174.734,120,0,N,N,N,N,155.818,0.454545,2.90909
78,62,168.505,14,0,N,N,N,N,306.455,0,0.272727
78,64,174.413,40,0,N,N,N,N,231.273,0.363636,0.181818
78,68,160.702,50,0,N,N,N,NA,512.636,0.818182,0
78,70,143.736,57,0,N,C,F,F,326.636,0.0909091,0.272727
78,72,164.149,57,0,N,N,NA,NA,70.2727,0.181818,0.363636
78,80,206.652,40,0,N,N,N,N,410.545,0,0
78,91,172.308,113,0,N,N,N,F,634.727,0.727273,4.90909
78,96,178.37,169,0,N,N,N,NA,480.273,1.09091,1
78,97,217.187,176,0,N,N,N,N,45.6364,1.45455,0
78,98,166.769,71,0,N,N,N,NA,360.636,0.181818,0
78,102,179.011,64,0,N,N,NA,NA,309.364,0,0.0909091
78,109,193.256,14,0,N,N,N,N,268.091,0,0
78,120,182.483,14,0,N,N,N,N,308.273,0,0.727273
78,126,130.115,40,0,N,N,C,F,344.545,0,0.181818
78,127,142.443,14,0,N,C,NA,NA,341.727,0.727273,0
78,131,176.695,113,0,N,N,N,N,293.273,3.27273,6.27273
78,137,214.555,40,0,N,N,N,F,21,0,0.0909091
78,139,134.952,14,0,N,NA,NA,NA,587.455,0.545455,0
78,140,151.486,71,0,N,N,N,N,454.636,0,0
78,153,183.216,78,0,N,NA,NA,NA,234.273,0.0909091,0
78,156,161.474,64,0,N,N,NA,NA,459.455,0.0909091,1.63636
78,158,167.622,113,0,N,N,N,NA,481.182,0.181818,0
78,161,208.096,14,0,N,N,N,N,121,0.636364,0.818182
78,170,170.229,50,0,N,N,N,N,291.273,0.272727,0
78,174,179.477,14,0,N,N,N,C,699.364,0,0.363636
78,176,147.801,5,0,N,N,NA,NA,351.727,0.545455,0.727273
78,190,149.482,5,0,N,N,N,N,410.636,0,0
78,209,148.385,64,0,N,N,N,C,496.636,1,5
78,210,164.514,204,0,N,N,N,N,68.3636,1,1.18182
78,215,166.676,85,0,N,N,NA,NA,469.455,0,0
78,219,162.29,85,0,N,NA,NA,NA,155.091,0.909091,2.18182
78,227,177.192,64,0,N,C,F,F,50.5455,0.272727,2.18182
78,229,174.256,50,0,N,N,N,NA,40,0.727273,0
78,232,216.342,50,0,N,N,N,C,116.364,0.0909091,0.181818
78,242,183.698,14,0,N,N,N,NA,774.727,1,0.0909091
78,245,140.688,14,0,N,N,NA,NA,470.182,0,0
78,250,181.604,57,0,N,N,NA,NA,674.273,0,0.272727
78,252,227.37,5,0,N,N,NA,NA,846.636,0,0.363636
78,261,172.2,40,0,N,N,N,N,279.727,0,0.0909091
78,262,181.868,57,0,N,N,N,N,321.091,1.09091,1.27273
78,263,179.889,120,0,N,N,N,N,454.909,0,1.45455
78,264,163.808,92,0,N,N,N,NA,32.5455,0.636364,0.545455
78,268,169.307,71,0,N,N,C,F,39,1.27273,0
78,289,183.918,78,0,N,N,N,NA,430.455,0,5.63636
78,299,176.182,14,0,N,N,N,N,310.273,0.545455,0.454545
78,311,167.027,5,0,N,N,C,F,758.455,0,0.454545
78,318,182.8,14,0,N,NA,NA,NA,276.182,0,0
78,356,149.013,5,0,N,N,N,NA,767.909,0,0.181818
78,387,160.465,78,0,N,N,C,NA,291.182,0.727273,1.81818
78,391,176.491,57,1,N,N,N,NA,727.455,0.454545,0.727273
78,395,176.082,92,0,N,N,N,NA,1552.82,0,0.0909091
78,458,185.529,71,0,N,N,N,N,416.364,0,1.45455
78,476,144.014,40,0,N,NA,NA,NA,555.909,0,1.90909
78,507,178.216,64,0,N,N,N,N,377.273,0.363636,2.36364
78,509,262.762,14,0,N,N,N,N,571.727,0,1.36364
78,530,170.344,64,0,N,N,N,N,409,0,0.363636
78,534,176.309,78,0,N,N,N,N,268.727,0,0.636364
78,564,166.412,99,0,N,NA,NA,NA,81,0,0.363636
78,576,194.466,40,0,N,N,N,N,336.091,0,0
78,593,183.469,169,0,N,N,N,C,173.545,0.0909091,5.81818
78,604,234.062,40,0,N,N,N,C,69.5455,0,0.454545
78,620,175.026,71,0,N,N,N,N,390.455,0,1.90909
78,635,185.602,50,0,N,N,N,N,240.909,0.181818,0
78,638,184.024,14,0,N,N,N,N,117.636,0,0
78,673,175.14,78,0,N,N,N,N,472.545,0,0
78,838,128.6,50,0,N,N,N,C,499.182,0.181818,2.36364
78,929,171.712,40,0,N,N,N,N,247.545,0,0
