Year	Herd	Perc_snowcover	Week_snowmelt
1998	BAT	0.68987	26
1999	BAT	0.69532	25
2000	BAT	0.7164	26
2001	BAT	0.73471	28
2002	BAT	0.73424	26
2003	BAT	0.71443	27
2004	BAT	0.75382	26
2005	BAT	0.77514	28
2006	BAT	0.67528	24
2007	BAT	0.74324	26
2008	BAT	0.70076	25
2009	BAT	0.69683	25
2010	BAT	0.70505	24
2011	BAT	0.68188	25
2012	BAT	0.66674	23
2013	BAT	0.66172	23
2014	BAT		24
1970	BEV	0.6525	24
1971	BEV		26
1972	BEV	0.73181	27
1973	BEV	0.61855	27
1974	BEV	0.68426	24
1975	BEV	0.68843	25
1976	BEV	0.69663	29
1977	BEV	0.68128	28
1978	BEV	0.76685	32
1979	BEV	0.74579	26
1980	BEV	0.63342	25
1981	BEV	0.68306	26
1982	BEV	0.7096	26
1983	BEV	0.74389	28
1984	BEV	0.65263	24
1985	BEV	0.71452	28
1986	BEV	0.73897	27
1987	BEV	0.72421	29
1988	BEV	0.6692	26
1989	BEV	0.72227	25
1990	BEV	0.65014	25
1991	BEV	0.71899	26
1992	BEV	0.72391	27
1993	BEV	0.70558	26
1994	BEV	0.6771	26
1995	BEV	0.72168	26
1996	BEV	0.71128	24
1997	BEV	0.70066	26
1998	BEV	0.70036	26
1999	BEV	0.6935	25
2000	BEV	0.72391	27
2001	BEV	0.67179	25
2002	BEV	0.73658	26
2003	BEV	0.70915	27
2004	BEV	0.74791	28
2005	BEV	0.7746	28
2006	BEV	0.68545	26
2007	BEV	0.74799	26
2008	BEV	0.68769	26
2009	BEV	0.70155	26
2010	BEV	0.6856	25
2011	BEV	0.68351	26
2012	BEV	0.66155	24
2013	BEV	0.6531	23
2014	BEV		25
1970	QAM	0.68732	24
1971	QAM		26
1972	QAM	0.72801	29
1973	QAM	0.67324	27
1974	QAM	0.6849	25
1975	QAM	0.70591	26
1976	QAM	0.73528	29
1977	QAM	0.70684	28
1978	QAM	0.8092	36
1979	QAM	0.74266	26
1980	QAM	0.65219	26
1981	QAM	0.688	28
1982	QAM	0.68339	27
1983	QAM	0.74718	28
1984	QAM	0.65623	28
1985	QAM	0.7153	26
1986	QAM	0.74142	27
1987	QAM	0.72071	29
1988	QAM	0.68237	26
1989	QAM	0.713	25
1990	QAM	0.64448	25
1991	QAM	0.73848	26
1992	QAM	0.71691	28
1993	QAM	0.69727	26
1994	QAM	0.68175	26
1995	QAM	0.72029	26
1996	QAM	0.70117	24
1997	QAM	0.70258	26
1998	QAM	0.7005	26
1999	QAM	0.6908	27
2000	QAM	0.72961	26
2001	QAM	0.66783	25
2002	QAM	0.72624	26
2003	QAM	0.70338	28
2004	QAM	0.7433	28
2005	QAM	0.7618	28
2006	QAM	0.67772	25
2007	QAM	0.7301	26
2008	QAM	0.65506	27
2009	QAM	0.67933	25
2010	QAM	0.68653	27
2011	QAM	0.69945	27
2012	QAM	0.67326	24
2013	QAM	0.65579	24
2014	QAM		24
1970	LRH	0.74297	29
1971	LRH		26
1972	LRH	0.74606	29
1973	LRH	0.68161	28
1974	LRH	0.71145	25
1975	LRH	0.70517	26
1976	LRH	0.72646	28
1977	LRH	0.74944	28
1978	LRH	0.76303	32
1979	LRH	0.71619	28
1980	LRH	0.66684	30
1981	LRH	0.71061	28
1982	LRH	0.70914	27
1983	LRH	0.70149	27
1984	LRH	0.67523	26
1985	LRH	0.69479	27
1986	LRH	0.72986	29
1987	LRH	0.69963	29
1988	LRH	0.67681	28
1989	LRH	0.70342	25
1990	LRH	0.70263	26
1991	LRH	0.72302	27
1992	LRH	0.75132	29
1993	LRH	0.67865	26
1994	LRH	0.64679	27
1995	LRH	0.63899	21
1996	LRH	0.71309	27
1997	LRH	0.65002	26
1998	LRH	0.64161	26
1999	LRH	0.66788	27
2000	LRH	0.74745	29
2001	LRH	0.65236	25
2002	LRH	0.71093	27
2003	LRH	0.69758	28
2004	LRH	0.68931	29
2005	LRH	0.61354	28
2006	LRH	0.66463	26
2007	LRH	0.686	27
2008	LRH	0.65226	24
2009	LRH	0.70726	27
2010	LRH	0.65965	26
2011	LRH	0.68589	27
2012	LRH	0.6585	24
2013	LRH	0.66804	27
2014	LRH		25
1970	GRH	0.73968	29
1971	GRH		26
1972	GRH	0.73106	29
1973	GRH	0.68008	28
1974	GRH	0.70799	26
1975	GRH	0.70176	26
1976	GRH	0.71274	28
1977	GRH	0.74398	28
1978	GRH	0.76256	32
1979	GRH	0.70267	27
1980	GRH	0.65846	30
1981	GRH	0.71035	30
1982	GRH	0.70008	25
1983	GRH	0.68547	26
1984	GRH	0.65841	26
1985	GRH	0.69882	29
1986	GRH	0.72622	30
1987	GRH	0.68535	29
1988	GRH	0.65009	27
1989	GRH	0.68722	25
1990	GRH	0.68791	28
1991	GRH	0.71065	30
1992	GRH	0.72572	29
1993	GRH	0.67837	24
1994	GRH	0.63709	25
1995	GRH	0.63184	23
1996	GRH	0.71538	28
1997	GRH	0.64246	26
1998	GRH	0.64305	26
1999	GRH	0.67285	28
2000	GRH	0.73484	29
2001	GRH	0.64594	25
2002	GRH	0.71093	29
2003	GRH	0.67718	26
2004	GRH	0.68601	30
2005	GRH	0.60437	26
2006	GRH	0.67517	33
2007	GRH	0.68686	27
2008	GRH	0.62463	24
2009	GRH	0.70528	27
2010	GRH	0.6706	28
2011	GRH	0.67726	26
2012	GRH	0.65649	24
2013	GRH	0.66098	28
2014	GRH		24

