Herd	Year	z_score_MayTemp	z_score_JuneAugTemp
BAT	1993	0.171514219	-0.010338666
BAT	1994	1.237023424	1.393355676
BAT	1995	0.067227507	0.087857664
BAT	1996	-0.409901781	1.539258793
BAT	1997	-0.454654858	0.489070113
BAT	1998	1.493259662	2.277714121
BAT	1999	-0.340131712	-0.296655437
BAT	2000	0.063087305	0.620600356
BAT	2001	-0.262638501	-0.433334341
BAT	2002	-1.180966706	-0.069846813
BAT	2003	-0.030656292	-0.002097429
BAT	2004	-1.918356493	0.021916508
BAT	2005	-0.120745889	-0.722222626
BAT	2006	0.507093107	0.51520069
BAT	2007	-0.762783871	0.197918727
BAT	2008	0.678127953	-0.127358024
BAT	2009	-0.765037233	-0.87269701
BAT	2010	0.267771109	-0.010648487
BAT	2011	-0.059740556	0.254470901
BAT	2012	0.687739804	1.472950076
BAT	2013	-0.493695055	0.795039388
BAT	2014	1.477084076	0.698175288
BAT	2015	1.119571842	-0.350908599
BEV	1970	-0.428028008	0.314605397
BEV	1971	1.151930125	0.143765529
BEV	1972	-0.085351848	-0.896360022
BEV	1973	2.34069245	1.862230816
BEV	1974	0.418054518	0.073416864
BEV	1975	0.842609632	0.606042547
BEV	1976	0.89113292	0.359828248
BEV	1977	1.194387092	-1.074740046
BEV	1978	-0.341993242	-2.331449886
BEV	1979	-0.705899704	-1.547587152
BEV	1980	1.113632609	-0.130604517
BEV	1981	0.7133355	0.291475417
BEV	1982	-0.851462289	-1.758627119
BEV	1983	-3.144073004	-0.221050217
BEV	1984	0.822507439	0.894446751
BEV	1985	0.458600976	-2.029964219
BEV	1986	0.13108516	-1.125507218
BEV	1987	-0.414774534	-1.638032852
BEV	1988	-2.270697494	-0.401941617
BEV	1989	-0.633118412	0.894446751
BEV	1990	-0.851462289	-0.920708004
BEV	1991	0.285023052	0.411261702
BEV	1992	-0.397043192	-1.397275443
BEV	1993	0.515024673	0.321881754
BEV	1994	0.724742148	1.0094771
BEV	1995	-0.218956467	0.242658858
BEV	1996	-0.43222021	1.654356449
BEV	1997	-0.310269696	0.722501938
BEV	1998	1.011165647	2.001601611
BEV	1999	0.088340707	-0.165031165
BEV	2000	0.088349804	0.263351327
BEV	2001	0.308660596	0.094133451
BEV	2002	-0.991804636	-0.190527808
BEV	2003	0.427194029	0.212086704
BEV	2004	-2.223966446	-0.837436156
