Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Aethopyga flagrans,Flaming Sunbird,Aethopyga_flagrans,40.69444444,57.36111111
Aethopyga gouldiae,Gould's Sunbird,Aethopyga_gouldiae,37.91666667,56.94444444
Aethopyga ignicauda,Fire-tailed Sunbird,Aethopyga_ignicauda,37.22222222,64.16666667
Aethopyga linaraborae,Lina's Sunbird,Aethopyga_linaraborae,42.77777778,46.52777778
Aethopyga mystacalis,Scarlet Sunbird,Aethopyga_mystacalis,36.52777778,66.11111111
Aethopyga nipalensis,Green-tailed Sunbird,Aethopyga_nipalensis,35.55555556,61.38888889
Aethopyga primigenia,Grey-hooded Sunbird,Aethopyga_primigenia,45,46.94444444
Aethopyga pulcherrima,Metallic-winged Sunbird,Aethopyga_pulcherrima,37.77777778,48.75
Aethopyga saturata,Black-throated Sunbird,Aethopyga_saturata,37.63888889,64.30555556
Aethopyga shelleyi,Lovely Sunbird,Aethopyga_shelleyi,35.41666667,50.55555556
Aethopyga siparaja,Crimson Sunbird,Aethopyga_siparaja,36.25,61.66666667
Agelaioides badius,Bay-winged Cowbird,Agelaioides_badius,42.91666667,42.36111111
Agelaius assimilis,Red-shouldered Blackbird,Agelaius_assimilis,62.08333333,65.83333333
Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius_humeralis,63.19444444,64.58333333
Agelaius phoeniceus,Red-winged Blackbird,Agelaius_phoeniceus,44.72222222,64.58333333
Agelaius tricolor,Tricoloured Blackbird,Agelaius_tricolor,50.41666667,66.11111111
Agelaius xanthomus,Yellow-shouldered Blackbird,Agelaius_xanthomus,67.08333333,64.72222222
Agelasticus cyanopus,Unicoloured Blackbird,Agelasticus_cyanopus,42.63888889,64.02777778
Agelasticus thilius,Yellow-winged Blackbird,Agelasticus_thilius,42.77777778,65.13888889
Agelasticus xanthophthalmus,Pale-eyed Blackbird,Agelasticus_xanthophthalmus,60.83333333,59.86111111
Agriornis albicauda,White-tailed Shrike-tyrant,Agriornis_albicauda,40.97222222,41.52777778
Agriornis lividus,Great Shrike-tyrant,Agriornis_lividus,40,39.30555556
Agriornis micropterus,Grey-bellied Shrike-tyrant,Agriornis_micropterus,41.66666667,42.77777778
Agriornis montanus,Black-billed Shrike-tyrant,Agriornis_montanus,42.63888889,40.13888889
Agriornis murinus,Lesser Shrike-tyrant,Agriornis_murinus,39.02777778,40.83333333
Ailuroedus buccoides,White-eared Catbird,Ailuroedus_buccoides,45.41666667,41.94444444
Ailuroedus crassirostris,Green Catbird,Ailuroedus_crassirostris,40.27777778,38.75
Ailuroedus melanotis,Spotted Catbird,Ailuroedus_melanotis,51.25,50.41666667
Aimophila aestivalis,Bachman's Sparrow,Aimophila_aestivalis,41.66666667,39.58333333
Aimophila botterii,Botteri's Sparrow,Aimophila_botterii,40.55555556,42.63888889
Aimophila carpalis,Rufous-winged Sparrow,Aimophila_carpalis,47.91666667,43.33333333
Aimophila cassinii,Cassin's Sparrow,Aimophila_cassinii,42.63888889,37.63888889
Aimophila humeralis,Black-chested Sparrow,Aimophila_humeralis,53.47222222,53.47222222
Aimophila mystacalis,Bridled Sparrow,Aimophila_mystacalis,49.44444444,50.27777778
Aimophila notosticta,Oaxaca Sparrow,Aimophila_notosticta,43.88888889,45.97222222
Aimophila quinquestriata,Five-striped Sparrow,Aimophila_quinquestriata,53.05555556,50.55555556
Aimophila rufescens,Rusty Sparrow,Aimophila_rufescens,43.88888889,46.38888889
Aimophila ruficauda,Stripe-headed Sparrow,Aimophila_ruficauda,49.86111111,44.58333333
Aimophila ruficeps,Rufous-crowned Sparrow,Aimophila_ruficeps,44.86111111,44.02777778
Aimophila stolzmanni,Tumbes Sparrow,Aimophila_stolzmanni,46.66666667,45.83333333
Aimophila strigiceps,Stripe-capped Sparrow,Aimophila_strigiceps,48.75,46.52777778
Aimophila sumichrasti,Cinnamon-tailed Sparrow,Aimophila_sumichrasti,48.75,48.47222222
Alaemon alaudipes,Greater Hoopoe-lark,Alaemon_alaudipes,43.05555556,43.19444444
Alaemon hamertoni,Lesser Hoopoe-lark,Alaemon_hamertoni,46.94444444,44.02777778
Alauda arvensis,Eurasian Skylark,Alauda_arvensis,44.44444444,42.22222222
Alauda gulgula,Oriental Skylark,Alauda_gulgula,37.77777778,38.61111111
Alauda razae,Raso Lark,Alauda_razae,45.83333333,41.80555556
Alcippe brunnea,Dusky Fulvetta,Alcippe_brunnea,48.47222222,44.16666667
Alcippe brunneicauda,Brown Fulvetta,Alcippe_brunneicauda,40.55555556,43.47222222
Alcippe castaneceps,Rufous-winged Fulvetta,Alcippe_castaneceps,40.27777778,41.38888889
Alcippe chrysotis,Golden-breasted Fulvetta,Alcippe_chrysotis,51.66666667,52.08333333
Alcippe cinerea,Yellow-throated Fulvetta,Alcippe_cinerea,48.33333333,46.11111111
Alcippe cinereiceps,Grey-hooded Fulvetta,Alcippe_cinereiceps,45.55555556,44.72222222
Alcippe danisi,Indochinese Fulvetta,Alcippe_danisi,38.61111111,39.44444444
Alcippe dubia,Rusty-capped Fulvetta,Alcippe_dubia,46.52777778,48.47222222
Alcippe formosana,Taiwan Fulvetta,Alcippe_formosana,43.75,42.5
Alcippe grotei,Black-browed Fulvetta,Alcippe_grotei,49.30555556,48.19444444
Alcippe klossi,Black-crowned Fulvetta,Alcippe_klossi,44.72222222,43.05555556
Alcippe ludlowi,Ludlow's Fulvetta,Alcippe_ludlowi,40,42.36111111
Alcippe manipurensis,Streak-throated Fulvetta,Alcippe_manipurensis,43.19444444,40
Alcippe morrisonia,Grey-cheeked Fulvetta,Alcippe_morrisonia,49.02777778,46.66666667
